,mnth,weathersit,windspeed,temp,hum,log_cnt
54,2,2,0.250496,0.295652,0.697391,7.499423290592229
55,2,2,0.346539,0.364348,0.712174,7.2868764117507
56,2,1,0.186571,0.2825,0.537917,7.585281078639126
57,2,1,0.125248,0.343478,0.68,7.784057002639929
58,2,2,0.289686,0.407273,0.876364,7.27655640271871
59,3,1,0.216425,0.266667,0.535,7.523481312573497
60,3,1,0.307833,0.335,0.449583,7.665753431861699
61,3,1,0.225754,0.198333,0.318333,7.429520842786462
62,3,2,0.203346,0.261667,0.610417,7.572502985020384
63,3,2,0.251871,0.384167,0.789167,7.638679823876112
64,3,2,0.343287,0.376522,0.948261,6.405228458030842
65,3,1,0.341352,0.261739,0.551304,7.534762657037537
66,3,1,0.12065,0.2925,0.420833,7.665284718471351
67,3,2,0.22015,0.295833,0.775417,7.544861068658458
68,3,3,0.261877,0.389091,0.0,6.434546518787453
69,3,2,0.23297,0.316522,0.649565,7.589335823170617
70,3,1,0.220775,0.329167,0.594583,7.664815785285735
71,3,1,0.270604,0.384348,0.527391,7.790282380703483
72,3,1,0.136926,0.325217,0.496957,7.6236419465115715
73,3,2,0.184309,0.317391,0.655652,7.628517626575055
74,3,2,0.203117,0.365217,0.776522,7.692569648067906
75,3,1,0.209579,0.415,0.602917,7.917171988845776
76,3,1,0.231017,0.54,0.525217,8.08301991917133
77,3,1,0.368167,0.4725,0.379167,8.044626279767337
78,3,1,0.207721,0.3325,0.47375,7.81237820598861
79,3,2,0.288783,0.430435,0.737391,7.638679823876112
80,3,1,0.22575,0.441667,0.624583,7.902117546276448
81,3,2,0.234261,0.346957,0.839565,7.659642954564682
82,3,2,0.243787,0.285,0.805833,7.5310163320779155
83,3,1,0.230725,0.264167,0.495,7.700747794511798
84,3,1,0.209571,0.265833,0.394167,7.822444729489319
85,3,2,0.1843,0.253043,0.493913,7.4342573821331355
86,3,1,0.212204,0.264348,0.302174,7.614805364711073
87,3,1,0.226996,0.3025,0.314167,7.793586803371584
88,3,2,0.172888,0.3,0.646667,7.336936913707618
89,3,3,0.217646,0.268333,0.918333,7.429520842786462
90,4,2,0.258708,0.3,0.68625,7.708410667257367
91,4,2,0.197146,0.315,0.65375,7.719573989259581
92,4,1,0.182213,0.378333,0.48,8.0861025356691
93,4,1,0.385571,0.573333,0.42625,8.043984431221553
94,4,2,0.388067,0.414167,0.642083,7.492760300922379
95,4,1,0.263063,0.390833,0.470833,7.940227765145702
96,4,1,0.162312,0.4375,0.602917,8.052296499538647
97,4,2,0.226992,0.335833,0.83625,7.293697720601438
98,4,2,0.133083,0.3425,0.8775,7.805882040228621
99,4,2,0.146767,0.426667,0.8575,7.970740390007095
100,4,2,0.324474,0.595652,0.716956,8.116118431609365
101,4,2,0.274879,0.5025,0.739167,7.617759576608505
102,4,2,0.250617,0.4125,0.819167,7.6787889981991535
103,4,1,0.1107,0.4675,0.540417,8.09162741160107
104,4,1,0.226375,0.446667,0.67125,8.047509510981422
105,4,3,0.340808,0.430833,0.888333,6.678342114654332
106,4,1,0.303496,0.456667,0.479583,8.227909837597483
107,4,1,0.163567,0.5125,0.5425,8.14002395246292
108,4,2,0.157971,0.505833,0.665833,8.07215530818825
109,4,1,0.241925,0.595,0.614167,8.279950715722526
110,4,1,0.325258,0.459167,0.407083,8.340217320947035
111,4,2,0.219521,0.336667,0.729583,7.428333194190806
112,4,2,0.230725,0.46,0.887917,8.3030093814735
113,4,2,0.192175,0.581667,0.810833,8.340694647925071
114,4,1,0.185333,0.606667,0.776667,8.312135107648412
115,4,1,0.3265,0.631667,0.729167,8.389359819906353
116,4,2,0.3122,0.62,0.835417,8.261526448396468
117,4,2,0.320908,0.6175,0.700833,8.30844552038576
118,4,1,0.240063,0.51,0.457083,8.432724034789787
119,4,1,0.235075,0.4725,0.503333,8.57772369115627
120,5,2,0.106354,0.451667,0.762083,8.11701408773731
121,5,2,0.183454,0.549167,0.73,8.38958706681109
122,5,2,0.342667,0.616667,0.697083,8.400884069015854
123,5,2,0.328996,0.414167,0.737083,7.87587915949631
124,5,1,0.295392,0.459167,0.444167,8.396831834745054
125,5,1,0.228246,0.479167,0.59,8.435549202375727
126,5,1,0.16045,0.52,0.54125,8.458292083496076
127,5,1,0.0746375,0.528333,0.631667,8.374015421739909
128,5,1,0.176,0.5325,0.58875,8.380685946761574
129,5,1,0.115671,0.5325,0.489167,8.476996001664824
130,5,1,0.120642,0.5425,0.632917,8.338544879988579
131,5,1,0.189667,0.535,0.7475,8.489616423646003
132,5,2,0.179725,0.5125,0.863333,8.31996102188653
133,5,2,0.13495,0.520833,0.9225,8.134174272137903
134,5,2,0.152979,0.5625,0.867083,8.423541635334782
135,5,1,0.126871,0.5775,0.787917,8.28349412616251
136,5,2,0.277354,0.561667,0.837917,8.3243363327069
137,5,2,0.201492,0.55,0.87,8.25712628599743
138,5,2,0.108213,0.530833,0.829583,8.428361977709622
139,5,1,0.125013,0.536667,0.719583,8.50045386741194
140,5,1,0.12065,0.6025,0.626667,8.666474894131992
141,5,1,0.148008,0.604167,0.749583,8.446770727119691
142,5,2,0.233842,0.631667,0.81,8.360305435879093
143,5,2,0.207092,0.66,0.740833,8.410053315858335
144,5,1,0.154233,0.660833,0.69625,8.512783482927537
145,5,1,0.199642,0.708333,0.6775,8.450412157725886
146,5,1,0.240679,0.681667,0.65375,8.450839690866216
147,5,1,0.230092,0.655833,0.729583,8.467582690862903
148,5,1,0.213938,0.6675,0.81875,8.473868066677865
149,5,1,0.131225,0.733333,0.685,8.318254328798846
150,5,1,0.111329,0.775,0.636667,8.289539484624141
151,6,2,0.207092,0.764167,0.677083,8.287528423111763
152,6,1,0.292287,0.715,0.305,8.510772623613315
153,6,1,0.253121,0.62,0.354167,8.57772369115627
154,6,1,0.123142,0.635,0.45625,8.583355393669907
155,6,2,0.138692,0.648333,0.6525,8.498214224818435
156,6,1,0.121896,0.678333,0.6,8.422442854870427
157,6,1,0.187808,0.7075,0.597917,8.483222671845084
158,6,1,0.136817,0.775833,0.622083,8.38958706681109
159,6,2,0.149883,0.808333,0.568333,8.272570608424903
160,6,1,0.140554,0.755,0.605,8.43076346341785
161,6,1,0.15485,0.725,0.654583,8.510369966068112
162,6,1,0.163567,0.6925,0.747917,8.40290404501411
163,6,1,0.30535,0.635,0.494583,8.521185212685776
164,6,1,0.269283,0.604167,0.507083,8.495152060539358
165,6,1,0.167912,0.626667,0.471667,8.55256033525353
166,6,2,0.206471,0.628333,0.688333,8.23403420769204
167,6,1,0.143029,0.649167,0.735833,8.485496104672983
168,6,1,0.119408,0.696667,0.670417,8.540714386457584
169,6,2,0.102,0.699167,0.666667,8.464635940677562
170,6,2,0.155475,0.635,0.74625,8.296546520300614
171,6,2,0.171025,0.680833,0.770417,8.483636407887394
172,6,1,0.172262,0.733333,0.7075,8.413387022690648
173,6,2,0.238804,0.728333,0.703333,8.474285690404962
174,6,1,0.222025,0.724167,0.573333,8.515391569469609
175,6,1,0.209571,0.695,0.483333,8.556798446008598
176,6,1,0.0945333,0.68,0.513333,8.576405051048084
177,6,2,0.107588,0.6825,0.658333,8.457018468380168
178,6,1,0.144283,0.744167,0.634167,8.444192298531748
179,6,1,0.261821,0.728333,0.497917,8.561210076833012
180,6,1,0.185312,0.696667,0.434167,8.615226931687603
181,7,1,0.102608,0.7225,0.39625,8.587092318795905
182,7,1,0.115062,0.738333,0.444583,8.540714386457584
183,7,2,0.228858,0.716667,0.6825,8.444407421690585
184,7,2,0.0814792,0.726667,0.637917,8.706655856361559
185,7,1,0.126258,0.746667,0.590417,8.447843113281444
186,7,1,0.149883,0.72,0.743333,8.44009614103127
187,7,1,0.1592,0.75,0.65125,8.432070937999402
188,7,2,0.225129,0.709167,0.757917,8.303999970955196
189,7,1,0.167912,0.733333,0.609167,8.58223158759546
190,7,1,0.183471,0.7475,0.578333,8.493105395887147
191,7,1,0.282337,0.7625,0.635833,8.315321775377567
192,7,1,0.200254,0.794167,0.559167,8.356554845453426
193,7,1,0.146133,0.746667,0.631667,8.376090350438238
194,7,1,0.240667,0.680833,0.47625,8.533853632309345
195,7,1,0.182833,0.663333,0.59125,8.619388703730907
196,7,1,0.208342,0.686667,0.585,8.686598356276965
197,7,1,0.245033,0.719167,0.604167,8.57583938684897
198,7,1,0.215804,0.746667,0.65125,8.402455513945814
199,7,1,0.1306,0.776667,0.650417,8.420902531097951
200,7,1,0.113817,0.768333,0.707083,8.37378460812088
201,7,2,0.222021,0.815,0.69125,8.238536930171769
202,7,1,0.1331,0.848333,0.580417,8.127699852817772
203,7,1,0.131221,0.849167,0.5,8.09712193091871
204,7,1,0.169171,0.83,0.550833,8.190354403763262
205,7,1,0.0908083,0.743333,0.757083,8.253227645581772
206,7,1,0.200258,0.771667,0.540833,8.431635303054591
207,7,1,0.183463,0.775,0.402917,8.445911989411274
208,7,1,0.178479,0.779167,0.583333,8.387084506069217
209,7,1,0.174138,0.838333,0.5425,8.254788926148725
210,7,1,0.168537,0.804167,0.465833,8.406261630708956
211,7,1,0.164813,0.805833,0.480833,8.366835309827675
212,8,1,0.156717,0.771667,0.550833,8.358431899031295
213,8,1,0.20585,0.783333,0.49125,8.485702524324866
214,8,2,0.135583,0.731667,0.6575,8.181440695719374
215,8,2,0.19715,0.71,0.7575,8.428580533059634
216,8,1,0.184696,0.710833,0.630833,8.490027523343468
217,8,2,0.22825,0.716667,0.755,8.364973978438726
218,8,1,0.201487,0.7425,0.752917,8.23880116587155
219,8,1,0.192175,0.765,0.592083,8.372398606513004
220,8,1,0.151121,0.775,0.570417,8.434246270595311
221,8,1,0.200258,0.766667,0.424167,8.472195825485501
222,8,1,0.164796,0.7175,0.42375,8.474703139795285
223,8,1,0.125621,0.708333,0.415,8.498010371999463
224,8,2,0.211454,0.685833,0.729583,8.330863613224745
225,8,2,0.222633,0.676667,0.8175,8.24800570160062
226,8,1,0.208954,0.665833,0.712083,8.37516869138682
227,8,1,0.236329,0.700833,0.578333,8.460622839927844
228,8,1,0.143667,0.723333,0.575417,8.454040376410969
229,8,1,0.233208,0.711667,0.654583,8.244071270295786
230,8,2,0.139308,0.685,0.722917,8.331586243630754
231,8,1,0.104467,0.6975,0.674167,8.55468163582723
232,8,1,0.248754,0.710833,0.77,8.261784679514752
233,8,1,0.27675,0.691667,0.47,8.467582690862903
234,8,1,0.146763,0.640833,0.455417,8.68185981297147
235,8,1,0.253108,0.673333,0.605,8.542860938164814
236,8,2,0.210833,0.684167,0.771667,8.17244681834278
237,8,1,0.0839625,0.7,0.76125,8.446985296372741
238,8,2,0.375617,0.68,0.85,7.016609683894219
239,8,1,0.304659,0.707059,0.561765,8.374246182096304
240,8,1,0.159825,0.636667,0.554583,8.441175704992322
241,8,1,0.125008,0.639167,0.548333,8.557182839632397
242,8,1,0.0833333,0.656667,0.597917,8.52872642722991
243,9,1,0.141796,0.655,0.639167,8.539932678385727
244,9,2,0.139929,0.643333,0.727083,8.461046030793236
245,9,1,0.185325,0.669167,0.716667,8.40827078419205
246,9,1,0.206467,0.709167,0.742083,8.505120610181969
247,9,2,0.212696,0.673333,0.790417,8.11701408773731
248,9,3,0.343943,0.54,0.886957,7.904703913873747
249,9,3,0.0970208,0.599167,0.917083,7.59890045687141
250,9,3,0.192748,0.633913,0.939565,7.518607216815252
251,9,2,0.124379,0.65,0.897917,8.173011311724972
252,9,1,0.153608,0.66,0.75375,8.583916823459145
253,9,1,0.115054,0.653333,0.71375,8.526351129201004
254,9,1,0.088913,0.644348,0.692174,8.45807992692373
255,9,1,0.141804,0.650833,0.7125,8.46863300080086
256,9,1,0.1673,0.673333,0.697083,8.473241303887054
257,9,2,0.271146,0.5775,0.709167,8.204945165019208
258,9,2,0.164183,0.469167,0.590417,8.468002947225466
259,9,2,0.189675,0.491667,0.718333,8.414274137408396
260,9,1,0.178483,0.5075,0.695,8.360305435879093
261,9,2,0.151742,0.549167,0.69,8.420462002456466
262,9,2,0.134954,0.561667,0.88125,8.200013648175434
263,9,2,0.0964042,0.595,0.9,8.378390788535778
264,9,2,0.128125,0.628333,0.902083,8.475328987317539
265,9,2,0.0783667,0.609167,0.9725,7.781138509845015
266,9,2,0.0783833,0.606667,0.8625,8.59840444684106
267,9,2,0.0503792,0.634167,0.845,8.51919119407891
268,9,2,0.1107,0.649167,0.848333,8.440312147080279
269,9,2,0.118171,0.636667,0.885417,8.323608442343572
270,9,2,0.148629,0.635,0.84875,8.27052509505507
271,9,1,0.172883,0.616667,0.699167,8.48446336679332
272,9,1,0.206475,0.564167,0.6475,8.556798446008598
273,10,2,0.292296,0.41,0.75375,7.795234929002173
274,10,2,0.222013,0.356667,0.791667,7.978653729082731
275,10,2,0.0833458,0.384167,0.760833,8.180320874773685
276,10,1,0.205854,0.484167,0.71,8.40200678160712
277,10,1,0.17725,0.538333,0.647917,8.481773246184977
278,10,1,0.134954,0.494167,0.620833,8.469052816088302
279,10,1,0.0223917,0.510833,0.684167,8.514188682395938
280,10,1,0.0454042,0.521667,0.70125,8.595819511871428
281,10,1,0.06345,0.540833,0.7275,8.614501373883236
282,10,1,0.0423042,0.570833,0.73375,8.540323608805092
283,10,2,0.143042,0.566667,0.80875,8.425735580927402
284,10,3,0.24815,0.543333,0.90625,7.789868559054706
285,10,2,0.141787,0.589167,0.896667,7.976938756959434
286,10,2,0.223883,0.550833,0.71625,8.200837258379849
287,10,1,0.258083,0.506667,0.483333,8.559677803022392
288,10,1,0.281717,0.511667,0.486667,8.525359754082631
289,10,1,0.175379,0.534167,0.579583,8.42726848388825
290,10,2,0.110087,0.5325,0.701667,8.465478755729558
291,10,3,0.243339,0.541739,0.895217,7.793174347189205
292,10,1,0.422275,0.475833,0.63625,8.341648618901306
293,10,1,0.221396,0.4275,0.574167,8.36730010184162
294,10,1,0.0926667,0.4225,0.629167,8.36822903827628
295,10,1,0.0995125,0.421667,0.74125,8.385032287813898
296,10,1,0.118792,0.463333,0.772083,8.339739766019143
297,10,1,0.166658,0.471667,0.622917,8.452547997922705
298,10,2,0.148642,0.484167,0.720417,8.267192185932146
299,10,2,0.197763,0.47,0.812917,7.88570539124302
300,10,2,0.229479,0.330833,0.585833,8.228710798793687
301,10,3,0.351371,0.254167,0.8825,6.440946540632921
302,10,1,0.176617,0.319167,0.62375,8.11102783819368
303,10,1,0.10635,0.34,0.703333,8.207674424355282
304,11,1,0.135571,0.400833,0.68375,8.31090675716845
305,11,1,0.0820917,0.3775,0.71875,8.339500903005945
306,11,1,0.136817,0.408333,0.702083,8.287528423111763
307,11,2,0.271779,0.403333,0.6225,8.305484017727691
308,11,1,0.189062,0.326667,0.519167,8.275376374836407
309,11,1,0.0920542,0.348333,0.734583,8.202208436436448
310,11,1,0.057225,0.395,0.75875,8.302761580704049
311,11,1,0.0690375,0.408333,0.721667,8.344029572407049
312,11,1,0.0621958,0.4,0.758333,8.32093496888341
313,11,2,0.189067,0.38,0.813333,7.983781068977451
314,11,1,0.314675,0.324167,0.44625,8.122074375362217
315,11,1,0.212062,0.356667,0.552917,8.310660905907225
316,11,1,0.281721,0.440833,0.458333,8.220672170297252
317,11,1,0.306596,0.53,0.587083,8.408716715080153
318,11,2,0.199633,0.53,0.68875,8.341648618901306
319,11,3,0.136829,0.456667,0.93,7.504942068396171
320,11,2,0.305362,0.341667,0.575833,8.023879992734878
321,11,1,0.168533,0.274167,0.41,8.129174996911793
322,11,1,0.224496,0.329167,0.502083,8.206037762778815
323,11,2,0.18595,0.463333,0.684583,8.166216268592143
324,11,3,0.138054,0.4475,0.91,7.9247959139564355
325,11,3,0.118792,0.416667,0.9625,7.382124365737512
326,11,2,0.335825,0.440833,0.757917,7.850103545175582
327,11,1,0.167304,0.373333,0.549167,7.3098814858247865
328,11,1,0.0988958,0.375,0.64375,7.934513463882263
329,11,1,0.0684208,0.375833,0.681667,8.028781162487148
330,11,1,0.208954,0.459167,0.698333,8.029758520440822
331,11,1,0.142122,0.503478,0.743043,8.260234291607297
332,11,2,0.258092,0.458333,0.830833,7.97728198675515
333,11,1,0.271158,0.325,0.613333,8.19229373114764
334,12,1,0.220158,0.3125,0.524583,8.223358899479258
335,12,1,0.100754,0.314167,0.625833,8.27893600229198
336,12,1,0.0957833,0.299167,0.612917,8.192570471152173
337,12,1,0.0839583,0.330833,0.775833,8.156223323194624
338,12,2,0.0622083,0.385833,0.827083,8.24564690087386
339,12,3,0.232583,0.4625,0.949583,7.860956364876389
340,12,3,0.266175,0.41,0.970417,6.558197802812269
341,12,1,0.240058,0.265833,0.58,8.10832229017324
342,12,1,0.0827167,0.290833,0.695833,8.194229304819817
343,12,1,0.233221,0.275,0.5075,8.06777619577889
344,12,1,0.0665417,0.220833,0.49,7.916807490937603
345,12,1,0.06345,0.238333,0.670833,8.104703468371108
346,12,1,0.14055,0.2825,0.59,8.167068178341237
347,12,2,0.0609583,0.3175,0.66375,8.226840890408578
348,12,2,0.268042,0.4225,0.634167,8.21851757748959
349,12,2,0.260575,0.375,0.500417,8.182279739259018
350,12,2,0.243167,0.258333,0.560833,7.915348169263078
351,12,1,0.169779,0.238333,0.58625,7.796057974316123
352,12,1,0.172896,0.276667,0.6375,8.132412674500905
353,12,2,0.0615708,0.385833,0.595417,8.229511118964457
354,12,2,0.2214,0.428333,0.858333,7.886081401775745
355,12,2,0.047275,0.423333,0.7575,8.028781162487148
356,12,1,0.274246,0.373333,0.68625,7.700295203420117
357,12,1,0.190304,0.3025,0.5425,6.918695219020472
358,12,1,0.155091,0.274783,0.681304,6.625392368007956
359,12,1,0.239465,0.321739,0.506957,7.183111701743281
360,12,2,0.18845,0.325,0.7625,7.057897937411856
361,12,1,0.293961,0.29913,0.503913,7.741533589281828
362,12,1,0.119412,0.248333,0.574167,7.792761720816526
363,12,1,0.134337,0.311667,0.636667,8.00603417874901
364,12,1,0.220154,0.41,0.615833,7.818027938530729
365,1,1,0.192167,0.37,0.6925,7.738052297689316
366,1,1,0.329665,0.273043,0.381304,7.576097340623111
367,1,1,0.365671,0.15,0.44125,7.71244383427499
368,1,2,0.1847,0.1075,0.414583,7.769800996003896
369,1,1,0.129987,0.265833,0.524167,8.093156697722637
370,1,1,0.167908,0.334167,0.542083,8.318254328798846
371,1,1,0.174758,0.393333,0.531667,8.416488487294606
372,1,1,0.191542,0.3375,0.465,8.138856750696325
373,1,2,0.0989,0.224167,0.701667,7.773173680482536
374,1,1,0.187552,0.308696,0.646522,8.188133414510478
375,1,2,0.131221,0.274167,0.8475,7.685703061234547
376,1,2,0.180967,0.3825,0.802917,8.318010277546872
377,1,1,0.378108,0.274167,0.5075,8.075271546297458
378,1,1,0.187183,0.18,0.4575,7.821242083523558
379,1,1,0.251258,0.166667,0.419167,7.745435610274381
380,1,1,0.231358,0.19,0.5225,7.739794458408701
381,1,2,0.34913,0.373043,0.716087,7.984462732262196
382,1,1,0.415429,0.303333,0.443333,8.124446855715847
383,1,1,0.220158,0.19,0.4975,8.09925056179696
384,1,2,0.20275,0.2175,0.45,8.059276223305648
385,1,2,0.222642,0.173333,0.83125,7.170888478512505
386,1,2,0.199638,0.1625,0.79625,7.589335823170617
387,1,2,0.110708,0.218333,0.91125,7.796469243086058
388,1,1,0.123767,0.3425,0.835833,8.37539918579835
389,1,1,0.161071,0.294167,0.64375,8.35936910622267
390,1,2,0.0733958,0.341667,0.769583,8.312626025674962
391,1,2,0.342667,0.425,0.74125,8.147867129923947
392,1,1,0.210829,0.315833,0.543333,8.299783171949787
393,1,1,0.24005,0.2825,0.31125,8.084254106307318
394,1,1,0.215792,0.269167,0.400833,8.19533366716287
395,1,1,0.261817,0.39,0.416667,8.413830678421084
396,2,1,0.189067,0.469167,0.507917,8.429235912657095
397,2,2,0.187187,0.399167,0.672917,8.232440158470336
398,2,1,0.178496,0.313333,0.526667,8.33110454805304
399,2,2,0.121896,0.264167,0.779583,7.94873845481361
400,2,2,0.175996,0.265833,0.687917,7.988542982737695
401,2,1,0.1538,0.282609,0.622174,8.238536930171769
402,2,1,0.147379,0.354167,0.49625,8.383661798791715
403,2,2,0.133721,0.256667,0.722917,7.938088726896952
404,2,1,0.194037,0.265,0.562083,8.250620082174692
405,2,2,0.116929,0.280833,0.54,8.25088114470065
406,2,3,0.289796,0.224167,0.73125,7.682021510826875
407,2,1,0.409212,0.1275,0.464583,7.332369205929062
408,2,1,0.167283,0.2225,0.41125,8.137980454452139
409,2,2,0.141179,0.319167,0.50875,8.274357006756292
410,2,1,0.1816,0.348333,0.53125,8.335431477880796
411,2,2,0.091425,0.316667,0.752917,8.008032846969307
412,2,1,0.205846,0.343333,0.634583,8.331827004436057
413,2,1,0.190929,0.346667,0.534583,8.370547611074752
414,2,2,0.253112,0.28,0.515833,7.896924656268864
415,2,1,0.229083,0.28,0.507826,8.048468743668883
416,2,1,0.205717,0.287826,0.594348,8.236685322712457
417,2,1,0.234471,0.395833,0.567917,8.470730317005897
418,2,1,0.190913,0.454167,0.554583,8.529516941105069
419,2,2,0.237567,0.4075,0.7375,8.156797046675651
420,2,1,0.421642,0.290833,0.395833,7.912789220690681
421,2,1,0.205229,0.279167,0.41,8.128290171607052
422,2,1,0.268033,0.366667,0.490833,8.371473537066832
423,2,1,0.193417,0.359167,0.395833,8.38091517312361
424,2,2,0.179117,0.344348,0.804783,7.51425465281641
425,3,1,0.226987,0.485833,0.615417,8.515191188745565
426,3,2,0.144904,0.353333,0.657083,8.069029328774958
427,3,2,0.161079,0.414167,0.62125,8.310414994188292
428,3,1,0.334571,0.325833,0.403333,8.138272638530186
429,3,1,0.228858,0.243333,0.50625,8.11162807830774
430,3,1,0.200875,0.258333,0.456667,8.282988692742602
431,3,1,0.345779,0.404167,0.513333,8.500250470685925
432,3,1,0.441563,0.5275,0.5675,8.590815331286851
433,3,2,0.4148,0.410833,0.407083,8.427049641563272
434,3,1,0.22575,0.2875,0.350417,8.323122887587735
435,3,1,0.222587,0.361739,0.476957,8.499232866039245
436,3,1,0.207713,0.466667,0.489167,8.575084669832014
437,3,1,0.23695,0.565,0.6175,8.67368398817567
438,3,1,0.115062,0.5725,0.507083,8.750207862525711
439,3,1,0.149883,0.5575,0.579583,8.731013415269564
440,3,2,0.113192,0.435833,0.842083,8.384347278082808
441,3,2,0.110704,0.514167,0.755833,8.966483779064431
442,3,2,0.126883,0.4725,0.81,8.681350777582521
443,3,1,0.162317,0.545,0.72875,8.724695046740491
444,3,1,0.121271,0.560833,0.807917,8.714895850248494
445,3,2,0.0895583,0.531667,0.82125,8.737131611781498
446,3,1,0.117562,0.554167,0.83125,8.835064935031076
447,3,2,0.1163,0.601667,0.694167,9.03145291191651
448,3,2,0.192783,0.5025,0.885417,8.123261319121745
449,3,2,0.220775,0.4375,0.880833,8.516392871245468
450,3,1,0.386821,0.445833,0.477917,8.62299361030245
451,3,1,0.187192,0.323333,0.29,8.537387898701757
452,3,1,0.291671,0.484167,0.48125,8.647870515057853
453,3,1,0.31965,0.494167,0.439167,8.721439305625983
454,3,2,0.138067,0.37,0.580833,8.605020901781758
455,3,2,0.250617,0.424167,0.738333,8.737933858114136
456,4,2,0.172267,0.425833,0.67625,8.706324840138741
457,4,1,0.312139,0.433913,0.504348,8.688790784847216
458,4,1,0.100133,0.466667,0.396667,8.820551743253025
459,4,1,0.180975,0.541667,0.469583,8.769662508112274
460,4,1,0.219529,0.435,0.374167,8.772920092626467
461,4,1,0.300388,0.403333,0.377083,8.773384596776648
462,4,1,0.274871,0.4375,0.254167,8.833025307284364
463,4,1,0.232596,0.5,0.275833,8.550434525196039
464,4,1,0.358196,0.489167,0.3175,8.6278397115033
465,4,1,0.249375,0.446667,0.435,8.685753832960154
466,4,1,0.295274,0.348696,0.469565,8.48920515487607
467,4,1,0.290429,0.3975,0.46625,8.595819511871428
468,4,1,0.155471,0.4425,0.408333,8.763740720509464
469,4,1,0.190917,0.495,0.502917,8.917310693197807
470,4,1,0.225129,0.606667,0.507917,8.872346978983032
471,4,1,0.284829,0.664167,0.561667,8.759354748566208
472,4,1,0.273629,0.608333,0.390417,8.808518618782816
473,4,2,0.167912,0.463333,0.569167,8.381831553485561
474,4,1,0.0659292,0.498333,0.6125,8.789507786736896
475,4,1,0.149871,0.526667,0.694583,8.894258825002703
476,4,1,0.283587,0.57,0.682917,8.798454696065095
477,4,3,0.344546,0.396667,0.835417,6.934397209928558
478,4,2,0.303496,0.321667,0.766667,8.075271546297458
479,4,1,0.249383,0.413333,0.454167,8.636397438894713
480,4,1,0.118792,0.476667,0.427917,8.73165920153676
481,4,2,0.176625,0.498333,0.756667,8.522379718103538
482,4,1,0.347633,0.4575,0.400833,8.73761303680885
